Season / Series,Doctor,Episodes,Episodes,Serials,Originally aired (UK),Originally aired (UK),"Average viewers
(millions)",Average AI
Season / Series,Doctor,Episodes,Episodes,Serials,First aired,Last aired,"Average viewers
(millions)",Average AI
Classic era,Classic era,Classic era,Classic era,Classic era,Classic era,Classic era,Classic era,Classic era,Classic era,Classic era,Classic era,Classic era
Season 1,First Doctor,42,42,8,23 November 1963 (1963-11-23),12 September 1964 (1964-09-12),8.08,59
Season 2,First Doctor,39,39,9,31 October 1964 (1964-10-31),24 July 1965 (1965-07-24),10.46,54
Season 3,First Doctor,45,45,10,11 September 1965 (1965-09-11),16 July 1966 (1966-07-16),7.65,49
Season 4,Second Doctor,43,43,9,10 September 1966 (1966-09-10),1 July 1967 (1967-07-01),7.10,49
Season 5,Second Doctor,40,40,7,2 September 1967 (1967-09-02),1 June 1968 (1968-06-01),7.23,53
Season 6,Second Doctor,44,44,7,10 August 1968 (1968-08-10),21 June 1969 (1969-06-21),6.38,54
Season 7,Third Doctor,25,25,4,3 January 1970 (1970-01-03),20 June 1970 (1970-06-20),7.17,59
Season 8,Third Doctor,25,25,5,2 January 1971 (1971-01-02),19 June 1971 (1971-06-19),7.96,–
Season 9,Third Doctor,26,26,5,1 January 1972 (1972-01-01),24 June 1972 (1972-06-24),8.30,–
Season 10,Third Doctor,26,26,5,30 December 1972 (1972-12-30),23 June 1973 (1973-06-23),8.87,–
Season 11,Third Doctor,26,26,5,15 December 1973 (1973-12-15),8 June 1974 (1974-06-08),8.78,60
Season 12,Fourth Doctor,20,20,5,28 December 1974 (1974-12-28),10 May 1975 (1975-05-10),10.00,56
Season 13,Fourth Doctor,26,26,6,30 August 1975 (1975-08-30),6 March 1976 (1976-03-06),10.14,57
Season 14,Fourth Doctor,26,26,6,4 September 1976 (1976-09-04),2 April 1977 (1977-04-02),11.08,59
Season 15,Fourth Doctor,26,26,6,3 September 1977 (1977-09-03),11 March 1978 (1978-03-11),8.98,62
Season 16,Fourth Doctor,26,26,6,2 September 1978 (1978-09-02),24 February 1979 (1979-02-24),8.61,64
Season 17,Fourth Doctor,20,20,5,1 September 1979 (1979-09-01),12 January 1980 (1980-01-12),11.21,65
Season 18,Fourth Doctor,28,28,7,30 August 1980 (1980-08-30),21 March 1981 (1981-03-21),5.82,63
Season 19,Fifth Doctor,26,26,7,4 January 1982 (1982-01-04),30 March 1982 (1982-03-30),9.24,–
Season 20,Fifth Doctor,22,22,6,3 January 1983 (1983-01-03),16 March 1983 (1983-03-16),7.03,67
Season 21,Fifth Doctor,24,24,7,5 January 1984 (1984-01-05),30 March 1984 (1984-03-30),7.14,65
Season 22,Sixth Doctor,13,13,6,5 January 1985 (1985-01-05),30 March 1985 (1985-03-30),7.12,64
Season 23,Sixth Doctor,14,14,1,6 September 1986 (1986-09-06),6 December 1986 (1986-12-06),4.81,69
Season 24,Seventh Doctor,14,14,4,7 September 1987 (1987-09-07),7 December 1987 (1987-12-07),4.94,60
Season 25,Seventh Doctor,14,14,4,5 October 1988 (1988-10-05),4 January 1989 (1989-01-04),5.34,68
Season 26,Seventh Doctor,14,14,4,6 September 1989 (1989-09-06),6 December 1989 (1989-12-06),4.15,68
Revived era,Revived era,Revived era,Revived era,Revived era,Revived era,Revived era,Revived era,Revived era,Revived era,Revived era,Revived era,Revived era
Series 1,Ninth Doctor,13,13,10,26 March 2005 (2005-03-26),18 June 2005 (2005-06-18),7.95,82
Series 2,Tenth Doctor,13,13,10,15 April 2006 (2006-04-15),8 July 2006 (2006-07-08),7.71,84
Series 3,Tenth Doctor,13,13,9,31 March 2007 (2007-03-31),30 June 2007 (2007-06-30),7.55,86
Series 4,Tenth Doctor,13,13,10,5 April 2008 (2008-04-05),5 July 2008 (2008-07-05),8.05,88
Series 5,Eleventh Doctor,13,13,10,3 April 2010 (2010-04-03),26 June 2010 (2010-06-26),7.73,86
Series 6,Eleventh Doctor,13,13,11,23 April 2011 (2011-04-23),1 October 2011 (2011-10-01),7.52,86
Series 7,Eleventh Doctor,13,13,13,1 September 2012 (2012-09-01),18 May 2013 (2013-05-18),7.44,86
Series 8,Twelfth Doctor,12,12,11,23 August 2014 (2014-08-23),8 November 2014 (2014-11-08),7.26,83
Series 9,Twelfth Doctor,12,12,9,19 September 2015 (2015-09-19),5 December 2015 (2015-12-05),6.03,82
Series 10,Twelfth Doctor,12,12,11,15 April 2017 (2017-04-15),1 July 2017 (2017-07-01),5.46,83
Series 11,Thirteenth Doctor,10,10,10,7 October 2018 (2018-10-07),9 December 2018 (2018-12-09),7.96,81
Series 12,Thirteenth Doctor,10,10,8,1 January 2020 (2020-01-01),1 March 2020 (2020-03-01),5.40,80
Series 13,Thirteenth Doctor,6,6,1,31 October 2021 (2021-10-31),5 December 2021 (2021-12-05),4.95,77
Series 14,Fifteenth Doctor,8,8,7,11 May 2024 (2024-05-11),22 June 2024 (2024-06-22),3.71,–
Series 15,Fifteenth Doctor,8,8,TBA,2025 (2025),TBA,TBA,TBA
