Special(s),Doctor,Episodes,Episodes,Originally aired,Originally aired,"Average viewers
(millions)",Average AI
20th anniversary,Fifth Doctor,1,1,25 November 1983 (1983-11-25),25 November 1983 (1983-11-25),7.70,75
Television movie,Eighth Doctor,1,1,12 May 1996 (1996-05-12),12 May 1996 (1996-05-12),9.08,75
2005 Christmas,Tenth Doctor,1,1,25 December 2005 (2005-12-25),25 December 2005 (2005-12-25),9.84,84
2006 Christmas,Tenth Doctor,1,1,25 December 2006 (2006-12-25),25 December 2006 (2006-12-25),9.35,84
2007 Christmas,Tenth Doctor,1,1,25 December 2007 (2007-12-25),25 December 2007 (2007-12-25),13.31,86
2008–2010 specials,Tenth Doctor,5,5,25 December 2008 – 1 January 2010 (2008-12-25 – 2010-01-01),25 December 2008 – 1 January 2010 (2008-12-25 – 2010-01-01),11.50,88
2010 Christmas,Eleventh Doctor,1,1,25 December 2010 (2010-12-25),25 December 2010 (2010-12-25),12.11,83
2011 Christmas,Eleventh Doctor,1,1,25 December 2011 (2011-12-25),25 December 2011 (2011-12-25),10.77,84
2012 Christmas,Eleventh Doctor,1,1,25 December 2012 (2012-12-25),25 December 2012 (2012-12-25),9.87,87
2013 specials,Eleventh Doctor,2,2,23 November – 25 December 2013 (2013-11-23 – 2013-12-25),23 November – 25 December 2013 (2013-11-23 – 2013-12-25),11.97,86
2014 Christmas,Twelfth Doctor,1,1,25 December 2014 (2014-12-25),25 December 2014 (2014-12-25),8.28,82
2015 Christmas,Twelfth Doctor,1,1,25 December 2015 (2015-12-25),25 December 2015 (2015-12-25),7.69,82
2016 Christmas,Twelfth Doctor,1,1,25 December 2016 (2016-12-25),25 December 2016 (2016-12-25),7.83,82
2017 Christmas,Twelfth Doctor,1,1,25 December 2017 (2017-12-25),25 December 2017 (2017-12-25),7.92,81
2019 New Year,Thirteenth Doctor,1,1,1 January 2019 (2019-01-01),1 January 2019 (2019-01-01),7.13,80
2020 New Year,Thirteenth Doctor,–,–,1 January 2020 (2020-01-01),1 January 2020 (2020-01-01),6.89,82
2021 New Year,Thirteenth Doctor,1,1,1 January 2021 (2021-01-01),1 January 2021 (2021-01-01),6.36,79
2022 specials,Thirteenth Doctor,3,3,1 January – 23 October 2022 (2022-01-01 – 2022-10-23),1 January – 23 October 2022 (2022-01-01 – 2022-10-23),4.39,78
2023 specials,Fourteenth Doctor,3,3,25 November – 9 December 2023 (2023-11-25 – 2023-12-09),25 November – 9 December 2023 (2023-11-25 – 2023-12-09),7.20,84
2023 Christmas,Fifteenth Doctor,1,1,25 December 2023 (2023-12-25),25 December 2023 (2023-12-25),7.49,82
2024 Christmas,Fifteenth Doctor,1,1,25 December 2024 (2024-12-25),25 December 2024 (2024-12-25),TBA,TBA
