"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
152,1,Battlefield,"""Part One""",Michael Kerrigan,Ben Aaronovitch,6 September 1989 (1989-09-06),7N,3.1,69
152,1,Battlefield,"""Part Two""",Michael Kerrigan,Ben Aaronovitch,13 September 1989 (1989-09-13),7N,3.9,68
152,1,Battlefield,"""Part Three""",Michael Kerrigan,Ben Aaronovitch,20 September 1989 (1989-09-20),7N,3.6,67
152,1,Battlefield,"""Part Four""",Michael Kerrigan,Ben Aaronovitch,27 September 1989 (1989-09-27),7N,4.0,65
153,2,Ghost Light,"""Part One""",Alan Wareing,Marc Platt,4 October 1989 (1989-10-04),7Q,4.2,68
153,2,Ghost Light,"""Part Two""",Alan Wareing,Marc Platt,11 October 1989 (1989-10-11),7Q,4.0,68
153,2,Ghost Light,"""Part Three""",Alan Wareing,Marc Platt,18 October 1989 (1989-10-18),7Q,4.0,64
154,3,The Curse of Fenric,"""Part One""",Nicholas Mallett,Ian Briggs,25 October 1989 (1989-10-25),7M,4.3,67
154,3,The Curse of Fenric,"""Part Two""",Nicholas Mallett,Ian Briggs,1 November 1989 (1989-11-01),7M,4.0,68
154,3,The Curse of Fenric,"""Part Three""",Nicholas Mallett,Ian Briggs,8 November 1989 (1989-11-08),7M,4.0,68
154,3,The Curse of Fenric,"""Part Four""",Nicholas Mallett,Ian Briggs,15 November 1989 (1989-11-15),7M,4.2,68
155,4,Survival,"""Part One""",Alan Wareing,Rona Munro,22 November 1989 (1989-11-22),7P,5.0,69
155,4,Survival,"""Part Two""",Alan Wareing,Rona Munro,29 November 1989 (1989-11-29),7P,4.8,69
155,4,Survival,"""Part Three""",Alan Wareing,Rona Munro,6 December 1989 (1989-12-06),7P,5.0,71
